187,407,0, ;212.804,404.036,0.02,;224.026,401.795,0.035,;235.278,399.544,0.052,;243.851,397.287,0.069,;254.238,396.529,0.105,;281.134,395,0.118,;294.374,395.837,0.135,;304.653,396.961,0.152,;314.72,397,0.235,;359.66,395.434,0.241,;368.803,395,0.264,;378.244,394.195,0.285,;389.268,393.073,0.297,;398.394,392.951,0.427,;460.104,392,0.565,;495.91,394,0.577,;497,394,0.638,;498.268,396.267,0.758,;500.214,397.107,0.784,;503.532,398.766,0.808,;504.527,399.263,0.981,;505.049,401.098,1.006,;503.956,404.131,1.061,;493.058,411.457,1.115,;461.335,440.766,1.201,;413.664,480.336,1.351,;337.091,560.56,1.437,;303.73,597.524,1.536,;269.154,636.846,1.613,;249.224,660.776,1.645,;246.532,665.67,1.7,;225.942,685.635,1.788,;215.39,698.414,1.818,;208.876,706.062,1.86,;206.348,708.305,1.908,;205.732,709.537,1.964,;208.044,707.978,2.011,;210.339,708,2.049,;222.522,705.493,2.067,;231.052,705,2.096,;242.024,703.998,2.147,;280.859,701,2.166,;288.738,700,2.245,;332.606,694.643,2.274,;339.119,695,2.346,;371.887,695,2.378,;385.27,696.054,2.398,;396.528,697,2.413,;397.846,697,2.43,;403.722,698,2.447,;409.332,698,2.47,;415.729,698,2.485,;421.532,698,2.512,;429.438,697,2.541,;435.087,697,2.574,;445.5,697,2.598,;449.532,696,2.623,;455.758,696,2.659,;461.351,696.117,2.679,;464.724,697.241,2.709,;471.449,698,2.748,;478.161,699,2.775,;483.939,699,2.803,;489.415,700,2.835,;491.993,700,2.879,;496.357,700.786,2.926,;501.895,701,2.959,;509.585,702.292,3.008,;511.535,700.732,3.068,;512.024,703.048,3.13,;510.866,700.732,3.364,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;72,,,;3364,,,;IVCCH,,,
184,409,0, ;200.641,409,0.024,;214.7,408,0.032,;223.795,408,0.046,;232.825,408,0.061,;239.805,408,0.085,;246.531,408,0.096,;253.143,408,0.117,;270.984,409.356,0.139,;272.885,409,0.151,;277.23,409,0.162,;281.049,409,0.184,;285.984,409,0.198,;292.499,408.083,0.214,;298.272,409.054,0.23,;302.735,409,0.246,;307.237,409,0.265,;310.313,409,0.287,;316.661,409,0.302,;324.041,409,0.314,;330.927,409,0.334,;336.449,409,0.352,;341.009,407.998,0.364,;349.075,408,0.387,;356.982,406.717,0.4,;363.163,407,0.413,;365.5,405.5,0.437,;369.787,405,0.451,;374.511,404.298,0.464,;381.331,404,0.484,;387.821,403.03,0.503,;392.335,403,0.52,;396.836,403,0.538,;401.31,404.328,0.55,;407.727,404,0.565,;414,404,0.585,;420.472,404,0.602,;425.219,404,0.616,;428.78,404,0.631,;434.335,404,0.652,;439.982,404,0.667,;444.343,404,0.682,;450.262,404,0.703,;453.7,404,0.715,;456.966,404,0.731,;460.342,404,0.751,;464.593,404,0.765,;469.096,404,0.785,;473.516,404,0.803,;479.27,404,0.816,;482.172,405.391,0.837,;484,405,0.851,;486,405,0.865,;488,405,0.951,;488.056,407.113,1.001,;488,409.357,1.034,;486.729,411.541,1.052,;485.962,414.114,1.065,;484.771,417.686,1.087,;483.65,421.05,1.101,;481.153,427.116,1.117,;477.5,432.5,1.137,;474.03,436.627,1.149,;470.667,440.333,1.166,;466.28,442.86,1.19,;463.907,445.093,1.199,;461.699,448.451,1.22,;459.377,451.934,1.239,;455.764,458.06,1.252,;449.416,463.068,1.267,;443.164,468.197,1.289,;435.879,472.195,1.301,;430.544,476.456,1.318,;426.962,481.051,1.334,;422.411,486.737,1.353,;417.919,491.081,1.373,;412.055,495.556,1.39,;408.105,499.421,1.402,;403.608,502.196,1.417,;399.853,505.147,1.435,;397.284,507.716,1.455,;394.047,510.953,1.471,;389.695,515.305,1.484,;385.103,518.673,1.506,;380.542,523.458,1.522,;377.726,526.274,1.536,;372.232,531.768,1.552,;368.91,535.09,1.572,;364.854,539.146,1.589,;358.497,545.503,1.602,;351.635,552.365,1.618,;344.917,557.903,1.642,;339.325,563.675,1.658,;336.779,566.221,1.67,;332.789,569.658,1.685,;328.335,573.665,1.704,;323.877,577.343,1.723,;319.464,582.421,1.736,;314.89,587.11,1.753,;311.528,590.472,1.77,;198,,,;3956,,,;IVCCH,,,
186,411,0, ;203.377,409.978,0.015,;218.051,408.695,0.031,;229.875,407.512,0.043,;238.085,406.416,0.059,;245.268,406,0.078,;252.093,406,0.092,;259.653,406,0.11,;275.133,406,0.125,;280.014,407.203,0.142,;287.848,405.736,0.162,;299.073,406,0.177,;306.397,406.566,0.194,;313.763,407,0.21,;323.297,407,0.229,;331.403,407.915,0.244,;338.086,408,0.262,;346.251,408,0.279,;358.008,408,0.294,;367.581,408,0.311,;373,408,0.328,;383.859,408,0.344,;392.284,408,0.359,;398.504,407.099,0.377,;405.112,407,0.411,;412.7,405.9,0.424,;421.299,405,0.433,;428.532,404.638,0.444,;436.5,403.5,0.461,;445.893,403.388,0.478,;454.08,403,0.494,;461.157,402.14,0.511,;468.832,401.024,0.529,;477.806,401,0.554,;485.598,401,0.564,;489.389,401,0.595,;496.17,401,0.61,;498,401,0.728,;497,403.134,0.76,;496.206,406.588,0.781,;495.096,408.807,0.798,;491.92,411.054,0.812,;489.688,414.468,0.833,;486.341,420.098,0.868,;468.003,436.497,0.879,;460,443.5,0.907,;454.424,448.576,0.924,;445.092,457.029,0.932,;436.03,464.974,0.946,;428.49,471.437,0.962,;420.84,476.828,0.979,;408.106,484.336,0.998,;400.42,492.132,1.018,;392.831,499.573,1.03,;383.536,505.591,1.046,;374.026,513.102,1.064,;367.625,520.27,1.082,;360.685,529.42,1.108,;351.729,535.09,1.122,;344.167,542.444,1.133,;337.409,551.455,1.15,;329.977,560.023,1.166,;321.108,566.928,1.179,;312.492,574.508,1.2,;306.332,583.469,1.214,;300.744,591.358,1.229,;292.795,596.861,1.246,;285.028,602.408,1.266,;280.345,610.897,1.28,;276,618.5,1.297,;273.5,622.5,1.313,;268.706,627.058,1.33,;264.409,631.591,1.35,;259.676,636.324,1.365,;255.482,641.647,1.381,;250.93,647.337,1.406,;248.301,652.048,1.416,;246.518,654.965,1.431,;244.757,657.865,1.447,;242.522,661.217,1.463,;238.533,665.467,1.48,;234.072,670.91,1.505,;228.725,676.275,1.514,;224.054,682.182,1.53,;219.619,686.381,1.548,;218.067,687.933,1.566,;217.5,690,1.582,;216.294,692.411,1.602,;214.354,694.646,1.616,;213,696,1.631,;211.93,699.14,1.648,;209.648,702.528,1.665,;208.686,705.942,1.715,;207.822,707.356,1.775,;212.074,709.037,1.836,;224.976,710,1.869,;234.745,708.362,1.892,;243.324,707.239,1.901,;260.004,704,1.917,;271.254,702.875,1.939,;138,,,;3035,,,;IVCCH,,,
201,406,0, ;231.947,405,0.018,;241.264,405,0.035,;249.06,405,0.052,;256.921,403.726,0.069,;263.353,404,0.086,;270,404,0.103,;277.085,404.636,0.13,;283.788,404.242,0.146,;290.255,404,0.154,;296.99,404.998,0.17,;303.728,405,0.186,;307.965,405,0.203,;313.798,406.36,0.22,;322.402,406,0.237,;330.223,406,0.253,;335.915,406.729,0.27,;341.247,406.151,0.286,;350.728,405.03,0.303,;358.632,405,0.32,;366.491,405,0.337,;370.324,403.669,0.354,;379.16,404,0.371,;387.011,403.573,0.387,;393.475,404,0.404,;399.075,404,0.42,;404.684,403.063,0.437,;411.332,401.945,0.454,;419.234,402,0.47,;424.495,402,0.488,;427.259,402,0.505,;432.164,401.459,0.521,;437.308,401,0.538,;442.136,401,0.554,;447.512,401.902,0.571,;452.108,402,0.588,;455.443,403.148,0.605,;458.803,403,0.621,;463.556,403,0.639,;471,401.5,0.655,;475.773,402.629,0.671,;481.77,403.754,0.688,;485.622,404,0.705,;488.989,403.004,0.722,;492.344,404.115,0.739,;494.475,404,0.755,;496.705,402.647,0.788,;499.805,403,0.837,;501.357,403,0.871,;503.136,403,1.021,;500.941,405.059,1.056,;497.196,407.536,1.073,;492.381,410.964,1.099,;488.672,414.328,1.119,;485.312,419.48,1.125,;478.912,426.088,1.141,;472.188,432.812,1.157,;465.452,439.548,1.174,;458.728,443.515,1.192,;455,448,1.208,;450.288,454.712,1.224,;444.281,461.462,1.241,;437.829,467.309,1.258,;432.07,471.944,1.274,;427.573,475.32,1.291,;423.082,479.918,1.307,;415.932,485.723,1.325,;409.188,492.812,1.342,;402.457,498.362,1.358,;397.144,502.856,1.374,;393.496,506.504,1.391,;388.233,510.814,1.408,;381.556,516.37,1.425,;376.029,521.971,1.441,;369.108,528.892,1.459,;365.248,534.19,1.476,;359.213,538.787,1.492,;352.25,545.072,1.508,;344.397,552.603,1.525,;338.388,559.535,1.542,;333.827,565.216,1.559,;327.045,570.796,1.575,;320.32,576.4,1.593,;313.593,583.407,1.61,;307.896,590.156,1.627,;302.757,595.594,1.642,;297.162,600.071,1.659,;290.683,605.43,1.676,;283.961,612.039,1.692,;277.223,618.777,1.709,;274.252,624.247,1.727,;269.507,629.866,1.744,;263.539,633.969,1.761,;257.933,640.067,1.776,;252.33,645.67,1.793,;247.579,651.276,1.81,;245.048,654.928,1.826,;241.704,659.395,1.843,;237.125,662.656,1.86,;232.641,667.359,1.878,;169,,,;3500,,,;IVCCH,,,
201,400,0, ;215.337,401.024,0.019,;229.272,402.427,0.036,;236.315,403,0.052,;242.366,403.673,0.069,;247.184,404.796,0.085,;252.574,405,0.102,;259.211,406.035,0.118,;271.713,407.156,0.135,;276.366,405.727,0.153,;280.592,406,0.17,;285,406,0.187,;294.469,406,0.203,;300.79,406.758,0.221,;305.518,407,0.237,;310.002,407,0.258,;317.815,407,0.269,;324.468,407,0.286,;331.12,407,0.304,;336.44,407,0.32,;340.415,406.396,0.336,;347.095,406,0.353,;354.931,406,0.369,;361.806,406,0.387,;366.362,406,0.403,;370.842,404.789,0.42,;377.941,403.677,0.437,;386.179,404,0.454,;391.279,402.43,0.471,;395.766,401.308,0.487,;399.437,401,0.504,;403.74,400.065,0.52,;409.267,400,0.537,;414.869,400,0.554,;419.18,400,0.571,;423.67,398.583,0.588,;428,399,0.605,;431.624,398,0.621,;436.118,398,0.637,;440.601,398,0.655,;445.075,398,0.671,;449.558,398,0.688,;454.048,398,0.705,;457.14,398,0.722,;459,396.5,0.739,;462.868,397,0.755,;466.985,397,0.772,;471.456,397,0.788,;476.93,397.986,0.805,;481.418,398,0.822,;484.675,398,0.838,;488.046,396.651,0.856,;489.935,397,0.872,;492.176,397,0.89,;494.423,397,0.906,;496,397,1.121,;498.081,398.027,1.155,;501.802,399.267,1.188,;504.804,399,1.239,;506.124,400.062,1.441,;506,402.082,1.477,;499.201,408.732,1.491,;494.786,412.161,1.508,;490.295,416.705,1.524,;485.812,422.484,1.543,;482.75,430.917,1.561,;475,438.5,1.576,;468.047,443.294,1.592,;463,447.5,1.709,;421,488,1.726,;410.772,497.481,1.742,;402.926,503.338,1.761,;397.06,507.952,1.788,;393.558,512.442,1.809,;383.291,524.051,1.828,;377.637,529.363,1.845,;372.037,533.37,1.859,;367.136,537.148,1.876,;362.667,541.333,1.893,;357.233,545.814,1.91,;350.569,552.431,1.929,;343.832,559.168,1.943,;337.109,564.576,1.965,;333.248,568.314,1.977,;329,571.5,1.993,;321.928,578.393,2.013,;315.22,583.983,2.027,;309.398,590.523,2.044,;305.883,595.156,2.061,;301.352,599.648,2.077,;295.6,602.84,2.095,;289.984,609.016,2.112,;284.5,614.5,2.128,;279.427,620.216,2.149,;276.471,624.294,2.161,;274.232,628.537,2.178,;269.974,632.02,2.194,;266.612,635.388,2.211,;262.021,639.979,2.228,;258.886,644.485,2.245,;180,,,;4051,,,;IVCCH,,,
177,402,0, ;205.711,403,0.018,;215.87,403,0.036,;223.517,403,0.051,;232.702,403,0.07,;240.202,403,0.086,;246.492,403.582,0.103,;258.086,404,0.124,;268.574,404.822,0.152,;281.307,405,0.178,;289.492,405.186,0.19,;298.145,406.306,0.204,;305.988,407.427,0.222,;310.758,407.552,0.246,;315.5,408.5,0.268,;332.44,409.907,0.307,;337.175,410,0.319,;350.908,410,0.345,;357.788,410,0.379,;368.541,410,0.412,;381.28,410,0.459,;388.014,410,0.488,;401.794,411,0.509,;414.024,411,0.555,;425.373,411,0.595,;443.203,410,0.611,;450.027,410,0.629,;454.394,410,0.674,;463.45,409,0.705,;474.67,409,0.732,;482.358,409,0.802,;492.311,409,0.832,;494,409,0.97,;493,411.001,1.005,;490.759,414.361,1.025,;489.649,419.405,1.04,;485.533,425.445,1.058,;479.39,432.61,1.074,;472.032,438.549,1.09,;465.012,443.325,1.108,;460.123,448.846,1.124,;454.57,456.601,1.142,;449.005,463.195,1.16,;440.899,469.801,1.177,;429.827,473.855,1.2,;421.875,479.417,1.208,;411.086,486.84,1.224,;401.492,494.694,1.242,;395.202,501.757,1.258,;387.788,507.152,1.274,;379.027,515.973,1.295,;369.675,527.906,1.326,;348.741,543.173,1.349,;336.398,552.942,1.368,;325.372,560.577,1.384,;314.895,565.602,1.408,;308.926,572.104,1.434,;296.367,589.178,1.463,;285.481,596.346,1.495,;266.56,621.92,1.517,;258.899,628.358,1.542,;248.573,643.854,1.558,;244.056,651.652,1.574,;240.94,656.767,1.592,;237.551,659.449,1.608,;231.589,661.808,1.625,;227.101,665.174,1.647,;222.634,669.366,1.703,;215.766,678.234,1.73,;209.097,685.903,1.777,;196.599,694.401,1.824,;192.952,699.095,1.875,;193,701.266,1.941,;195.01,701,1.976,;197.268,699.866,1.992,;199.771,701.385,2.01,;205,701,2.028,;211.743,702.624,2.048,;218.502,703,2.071,;227.796,703,2.081,;237.948,703,2.102,;246.901,704.113,2.126,;253.01,704,2.149,;273.301,704,2.176,;280.767,704,2.196,;302.399,703,2.21,;313.596,703,2.236,;326.764,701.924,2.251,;338.012,701,2.26,;349.127,701,2.279,;364.77,699.556,2.296,;372.083,701,2.316,;382.175,701,2.393,;402.151,704,2.417,;424.36,705,2.466,;438.519,706,2.523,;469.003,706,2.583,;485.982,708.491,2.634,;491.798,709.933,2.671,;494.102,711.051,2.716,;104,,,;3293,,,;IVCCH,,,
182,392,0, ;338.545,392.078,0.017,;347.606,392,0.034,;359.107,393.311,0.052,;367.511,394.439,0.074,;374.904,394,0.085,;381.5,394,0.103,;392.62,394,0.121,;399.539,393.077,0.134,;406.247,393,0.151,;412.941,391.843,0.168,;420.931,392,0.194,;427.464,392,0.237,;432.634,391,0.27,;449.997,390,0.332,;456.737,391.246,0.339,;463.945,393.486,0.354,;469.044,394,0.369,;474.662,394.732,0.385,;480.268,395.854,0.401,;483.933,396,0.42,;486.188,397.094,0.436,;488.415,397,0.454,;490.68,397,0.47,;492.917,397,0.487,;495.152,397,0.502,;497,397,0.552,;498.357,398.178,0.588,;500.201,398,0.685,;502.179,398,0.736,;504.194,398,0.802,;506.268,398,0.853,;506,400.116,0.903,;499,408.5,0.922,;492.144,413.856,0.937,;487.68,420.81,0.955,;482.234,429.625,0.971,;474.468,437.532,0.988,;464.23,444.18,1.005,;456.746,453.576,1.023,;446.074,465.362,1.039,;435,473,1.056,;428.286,478.75,1.071,;419.8,488.2,1.091,;408.794,497.365,1.109,;398.649,504.234,1.128,;389.683,513.317,1.156,;377.542,524.731,1.164,;368.576,534.424,1.181,;360.286,542.714,1.192,;350.223,552.135,1.205,;340.911,561.089,1.225,;333.59,568.41,1.239,;323.942,577.052,1.256,;313.879,587.121,1.273,;305.013,594.738,1.291,;297.426,599.838,1.306,;286.598,606.935,1.328,;280.337,613.663,1.368,;269.781,625.375,1.382,;261.226,629.887,1.389,;254.447,636.553,1.406,;247.722,645.704,1.43,;241.994,652.672,1.442,;235.285,658.263,1.465,;227.555,661.722,1.526,;215.236,674.686,1.584,;195.376,691.218,1.648,;192,696.766,1.68,;192,697.534,1.698,;194.13,699.13,1.774,;205.724,703.49,1.802,;216.921,704.984,1.823,;221.443,705,1.906,;262.685,700.289,1.94,;277.697,697.101,1.95,;285.517,695.926,1.959,;296.946,693.611,1.98,;307.539,693,1.995,;316.504,693,2.025,;329.5,694.5,2.092,;380.595,692,2.109,;393.08,692,2.127,;398.424,690.596,2.144,;405,691,2.159,;411,691,2.227,;431.5,691,2.242,;435.981,691,2.277,;442.818,691,2.347,;470.631,695.938,2.391,;482.017,697.203,2.403,;485.993,697.331,2.415,;488.901,698,2.427,;491,698,2.527,;500.293,699,2.577,;503.311,699,2.594,;505.542,699,2.611,;508.681,699,2.631,;511.038,699,2.647,;513.283,699,2.678,;103,,,;2984,,,;IVCCH,,,
191,397,0, ;224.169,398.726,0.019,;235.561,399.84,0.035,;242.793,400.965,0.052,;249.518,402.086,0.069,;256.224,402,0.085,;262.953,403.326,0.103,;268.241,403,0.12,;276.707,405.569,0.137,;280.766,406,0.152,;286.854,406.809,0.169,;293.585,407,0.186,;299.258,407,0.203,;304.883,407,0.219,;307.875,407,0.238,;311.249,407,0.254,;314.5,407,0.27,;321.267,407,0.286,;326.102,407,0.303,;330.584,407,0.321,;334.056,408.019,0.337,;337.425,408,0.353,;339.513,408,0.37,;343.144,408,0.388,;349.486,406.503,0.404,;353.472,407,0.42,;358.719,406.256,0.437,;363.461,406,0.454,;366.958,406,0.471,;370.307,404.898,0.488,;374.901,403.775,0.504,;380.744,404,0.522,;386.324,404,0.539,;391.349,404,0.554,;395.126,404,0.571,;398.486,404,0.589,;401.854,404,0.605,;407.36,402.928,0.621,;414.124,404.187,0.638,;418.226,404,0.657,;424.164,404,0.672,;428,404,0.689,;431.026,403.325,0.705,;435.185,402.204,0.721,;440.574,402,0.738,;444.105,402,0.755,;448.631,402,0.772,;451.828,403.276,0.789,;453.8,401.6,0.805,;457.5,403.5,0.837,;462.288,402,0.855,;465.641,402,0.872,;470.01,402,0.889,;473.362,402,0.906,;476.739,402,0.923,;481.454,400.636,0.941,;482.968,401,0.957,;485.208,401,0.984,;487.454,400.273,1.001,;489.691,400,1.008,;491.931,400,1.025,;493,400,1.04,;494.207,400,1.105,;496.268,400,1.139,;498.536,400,1.156,;500.053,400,1.174,;502.352,400,1.19,;504.594,400,1.222,;506.536,400,1.256,;508.536,400,1.289,;510.536,400,1.323,;512.173,401.087,1.423,;510.911,403.179,1.457,;507.771,406.229,1.474,;501.277,411.378,1.493,;495.657,414.406,1.51,;490.049,419.951,1.525,;485.164,427.673,1.542,;480.686,434.972,1.558,;473.341,440.756,1.575,;465.496,446.36,1.592,;460.039,451.961,1.608,;454.447,458.863,1.627,;450.253,465.621,1.644,;443.694,470.204,1.662,;436.278,474.698,1.675,;430.01,479.99,1.692,;425.318,485.603,1.709,;418.778,493.259,1.726,;410.881,499.959,1.742,;401.756,505.403,1.76,;395.563,509.624,1.777,;392,515.5,1.794,;384.79,523.852,1.809,;377.661,529.813,1.826,;371.571,534.543,1.844,;365.957,538.026,1.86,;362.627,542.497,1.876,;356.771,546.983,1.893,;351.144,552.856,1.911,;218,,,;4415,,,;IVCCH,,,
214,393,0, ;238.861,391.114,0.018,;248.052,391,0.035,;256.999,391,0.051,;264.735,391,0.068,;271.227,391,0.086,;277.959,391,0.103,;289.921,391.609,0.118,;300.868,392,0.137,;307.267,393.707,0.152,;313.867,394.978,0.169,;322.788,396.099,0.185,;330.514,396,0.202,;338.384,397.341,0.22,;344.757,397,0.237,;355.64,396.42,0.253,;364.626,396,0.269,;371.947,396,0.286,;381.49,396,0.303,;389.446,396,0.319,;397.305,396,0.336,;403.843,396,0.354,;412.009,397.43,0.371,;419.5,395.5,0.387,;426.345,397,0.403,;431.951,397,0.42,;438.475,397,0.436,;445.198,397,0.453,;451.922,398.154,0.47,;456.106,398,0.488,;460.588,398,0.505,;465,399.5,0.521,;468.548,399,0.537,;472.277,399,0.554,;475.639,399,0.57,;478.005,399,0.594,;480.242,400.121,0.687,;482.179,401.089,0.72,;484.536,401,0.738,;487.323,399.892,0.772,;490.68,400,0.788,;493,400,0.821,;494.533,400,0.904,;495.071,402.142,0.938,;492.663,405.337,0.955,;489.63,409.161,0.972,;486.274,413.634,0.989,;480.855,419.145,1.006,;471.787,428.213,1.022,;461.525,437.2,1.04,;454.255,444.745,1.057,;445,452.5,1.074,;433.315,463.054,1.089,;426.228,469.772,1.106,;419.746,474.502,1.123,;413.01,478.993,1.139,;405.183,485.7,1.156,;398.547,492.453,1.173,;394.562,500.517,1.191,;388.585,503.932,1.208,;379.171,512.225,1.223,;370.916,520.811,1.24,;365.612,528.929,1.257,;359.182,534.848,1.273,;349.207,541.529,1.29,;340.312,550.688,1.306,;334.01,560.985,1.325,;324.389,568.16,1.342,;313.417,576.583,1.358,;306.522,586.261,1.374,;300.112,593.888,1.391,;292.428,599.694,1.407,;285.655,606.345,1.424,;280.11,614.245,1.44,;275.783,622.13,1.459,;272.732,628.537,1.476,;269.5,633.5,1.492,;261.665,641.669,1.507,;255.284,649.502,1.524,;249.458,656.45,1.541,;245.913,660.087,1.558,;242.545,664.607,1.574,;237.921,669.079,1.599,;233.464,673.919,1.611,;228.953,679.558,1.626,;224.476,683.893,1.642,;220.727,686.515,1.659,;217.366,688.756,1.676,;214.999,691.001,1.692,;212.763,693.237,1.723,;209.29,696.71,1.734,;205.921,699.079,1.744,;202.539,702.461,1.76,;200.794,702.603,1.776,;199,703.5,1.808,;197.464,705.536,1.841,;196.93,707.141,1.875,;199.452,705.774,1.925,;204.454,706.818,1.943,;208.749,707,1.966,;150,,,;3400,,,;IVCCH,,,
196,395,0, ;223.039,393,0.018,;232.954,393,0.035,;241.702,393,0.053,;249.223,393,0.069,;259.193,393,0.085,;267.898,392.3,0.102,;279.825,392,0.118,;288.574,392.939,0.135,;297.478,391.94,0.152,;305.276,390.818,0.169,;310.502,389.7,0.188,;316.133,387.147,0.204,;326,389.5,0.22,;332.318,388,0.236,;337.141,388,0.253,;342.542,387.092,0.269,;351.199,388.025,0.286,;360.2,388,0.303,;365.338,388,0.32,;370.955,388,0.337,;376.5,388,0.354,;385.383,390,0.369,;392.502,390,0.387,;397.487,390,0.403,;402.961,389.008,0.42,;410.82,390.117,0.436,;417.38,388.77,0.453,;425.518,387.64,0.478,;429.384,388,0.489,;436.165,388.595,0.504,;442.581,389,0.52,;449.031,388.162,0.537,;453.838,388,0.554,;457.234,388,0.571,;461.803,388,0.587,;466.275,388,0.606,;472.196,389.439,0.622,;477.804,388.439,0.638,;482.054,388,0.654,;484.606,388,0.671,;486.849,388,0.688,;489.086,388,0.706,;492.505,388,0.722,;494.562,388,0.74,;498.216,386.595,0.757,;502.571,388,0.773,;505.294,388.647,0.788,;508.308,389,0.805,;510.78,389,0.822,;512,389,0.838,;513.133,390.067,0.887,;515.331,391.166,0.954,;508.089,397.912,0.972,;501.41,403.492,0.989,;493.448,410.33,1.005,;485.631,415.692,1.024,;477.777,422.763,1.041,;464.189,432.649,1.056,;454.386,440.211,1.073,;442.931,447.771,1.089,;431.568,455.603,1.106,;423.554,466.637,1.123,;412.159,474.288,1.139,;398.371,482.117,1.158,;390.547,491.453,1.175,;377.5,501.5,1.191,;367.647,508.684,1.207,;356.331,518.093,1.223,;343.965,528.21,1.24,;333.721,535.186,1.257,;321.361,544.192,1.273,;308.969,550.653,1.292,;302.22,560.177,1.308,;291.5,566,1.325,;280.564,571.803,1.34,;273.464,579.292,1.357,;264.977,588.023,1.374,;255.034,595.974,1.391,;248.286,603.833,1.407,;244.041,611.677,1.424,;238.188,620.899,1.442,;229.641,626.88,1.459,;223.59,634.217,1.48,;218.381,642.066,1.491,;213.626,650.748,1.508,;209.138,655.862,1.525,;204.647,660.353,1.541,;200.194,664.806,1.558,;198.343,666.656,1.576,;196.11,668.89,1.593,;193.43,671.709,1.609,;192.31,676.448,1.625,;192,679.621,1.642,;192,681,1.658,;189.949,682.051,1.725,;192.267,684.267,1.743,;195.312,685,1.759,;197.554,685.777,1.776,;201.579,686,1.792,;149,,,;3168,,,;IVCCH,,,
