185,393,0,;208.742,397.129,0.017,;236.171,399.817,0.035,;261,400.5,0.052,;285.359,399.347,0.068,;310.834,398.225,0.085,;337.505,397.104,0.102,;363.431,397,0.118,;407.437,397,0.135,;428.45,394.481,0.152,;445.047,392.244,0.169,;463,390,0.186,;473.72,390,0.202,;485.73,390,0.219,;495.778,390.864,0.235,;504.888,391.986,0.252,;511.652,392,0.269,;515.918,392,0.285,;519.056,392,0.335,;518,394.357,0.368,;513.116,403.769,0.385,;504.379,410.465,0.403,;493.062,419.551,0.42,;484.418,435.196,0.437,;469.731,448.269,0.454,;452.5,465.5,0.471,;431.021,484.293,0.487,;407.366,501.963,0.504,;383.492,519.863,0.52,;365.177,534.669,0.537,;346.114,545.698,0.554,;329.569,562.136,0.57,;305.747,574.952,0.588,;297.5,592.5,0.605,;279.76,606.556,0.621,;267.403,619.597,0.637,;253.295,631.004,0.654,;242.794,641.206,0.671,;229.306,653.553,0.687,;218.332,662.134,0.704,;212.679,668.321,0.722,;209,675,0.738,;203.501,682.124,0.754,;199.75,687.749,0.771,;199,692.479,0.788,;198.006,695.983,0.805,;196.887,698.225,0.822,;197,700.462,0.838,;197,702.714,0.856,;198.474,704.948,0.872,;202.987,708.792,0.889,;210.037,712.159,0.905,;218.743,714.686,0.922,;237.344,715.964,0.939,;257.513,716,0.955,;284.917,716,0.972,;317.248,716,0.99,;348.523,717.447,1.007,;384,717,1.023,;415.289,717,1.039,;441.689,716.187,1.056,;459.993,716.933,1.073,;480.04,718.058,1.089,;489.561,718,1.106,;494.511,718,1.122,;500.094,716.581,1.14,;505.5,714,1.157,;509.654,713.336,1.173,;514.144,711.428,1.19,;517,710,1.292,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;70,,,;1292,,,;JCCCH,,,
195,403,0,;228.981,406.186,0.016,;271.168,408.557,0.033,;303.721,409,0.049,;339.478,409,0.066,;374.601,409,0.082,;407.315,409,0.099,;436.316,409,0.116,;492.202,407.719,0.133,;497.279,406.594,0.15,;508.5,407,0.166,;510.5,405.5,0.217,;503.992,408.004,0.245,;491.922,412.809,0.257,;482.993,419.505,0.269,;463.007,434.495,0.285,;445.59,450.924,0.301,;427.313,469.548,0.317,;405.627,491.628,0.334,;381.821,512.582,0.35,;361.324,533.658,0.367,;335.489,555.074,0.384,;308.554,572.631,0.4,;292.399,587.901,0.418,;268.585,602.12,0.435,;254.687,615.719,0.455,;241.854,627.432,0.468,;227.286,637.531,0.484,;218.284,649.553,0.501,;212.6,656.48,0.518,;206.996,662.004,0.536,;202.706,667.617,0.552,;201.112,671.777,0.569,;198.873,676.255,0.585,;197.314,680.745,0.601,;196.19,683.62,0.618,;195.5,685,0.651,;198.115,685.057,0.668,;201.869,687.579,0.686,;210.92,689.834,0.702,;217,693.5,0.718,;235.518,696.977,0.735,;257.527,700.329,0.751,;280.899,703.7,0.768,;310.561,707.062,0.785,;342.018,709.287,0.802,;380.895,711.523,0.819,;417.792,711,0.837,;450,711,0.853,;471.819,712,0.869,;489.755,712,0.885,;501.7,711.13,0.902,;507.951,710.01,0.919,;510.221,710,0.951,;507.643,708.822,1.068,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;55,,,;1068,,,;JCCCH,,,
193,402,0,;218.493,402,0.021,;247.285,402,0.052,;276.118,402,0.069,;308.046,401.481,0.092,;343.115,399.72,0.12,;413.168,394.247,0.143,;493.548,389.879,0.171,;511.212,390,0.206,;520.977,390,0.237,;508.156,400.277,0.254,;493.31,408.823,0.271,;480.919,418.885,0.287,;458.882,438.684,0.306,;436.204,456.436,0.327,;408.586,486.026,0.344,;379.032,513.968,0.361,;352.108,539.484,0.381,;325.212,563.314,0.435,;302.967,585.982,0.471,;224.685,650.884,0.491,;208.98,668.69,0.508,;203.021,675.775,0.529,;200.163,681.593,0.547,;197.922,685.078,0.561,;195.838,687.323,0.58,;194.437,689.563,0.597,;192.594,692.219,0.614,;191.5,695.5,0.644,;192,696.535,0.671,;214.138,698,0.687,;236.666,699.133,0.729,;298.65,700.744,0.74,;335.354,702.495,0.757,;373.218,703.617,0.771,;408.463,704,0.788,;441.029,704,0.804,;469.551,703.018,0.821,;493.155,700.795,0.838,;510.604,702.225,0.855,;517.79,700.651,0.92,;510.663,697.331,1.015,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;42,,,;1015,,,;JCCCH,,,
191,403,0,;229.534,404.541,0.016,;257.523,406.322,0.032,;288.698,407.783,0.049,;322.981,408,0.066,;361.872,406.975,0.082,;398.794,404.709,0.099,;433.253,401.201,0.117,;505.44,395.066,0.134,;505.127,395.489,0.147,;517,394.5,0.166,;518.5,392,0.216,;512.762,397.238,0.233,;506.842,404.389,0.251,;494.43,411.142,0.264,;483.15,422.365,0.281,;467,439,0.303,;437.13,462.241,0.317,;409.713,484.06,0.334,;381.858,507.279,0.351,;358.095,533.086,0.367,;331.005,553.954,0.385,;301.43,576.592,0.402,;280.842,597.705,0.419,;260.65,617.35,0.442,;246.023,634.07,0.454,;234.85,649.411,0.466,;224.567,660.433,0.483,;218.701,668.418,0.504,;215.453,676.277,0.528,;212.099,682.802,0.55,;210,687,0.566,;209.732,687.536,0.616,;215.093,690.031,0.633,;224.23,692.307,0.65,;248.488,694.549,0.669,;277.875,695.395,0.689,;313.603,694.482,0.701,;353.573,692.726,0.717,;395.086,691.241,0.734,;434.789,691,0.751,;467.067,692.002,0.767,;495.02,694.242,0.784,;519.306,695.241,0.804,;524.943,696.368,0.817,;527.956,694.511,0.951,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;46,,,;951,,,;JCCCH,,,
193,404,0,;235.275,399.225,0.033,;264.179,395.864,0.042,;299.655,393.501,0.063,;338.125,390.421,0.071,;376.588,388.588,0.087,;412.43,388,0.106,;467.507,388,0.123,;509.948,389.552,0.141,;530.337,392.688,0.156,;545.271,395.042,0.172,;552.278,398.278,0.189,;553.48,400.52,0.205,;550.474,403.145,0.222,;542.462,407.014,0.239,;524.559,412.11,0.256,;499.053,422.226,0.272,;470.44,438.016,0.29,;440.375,455.778,0.307,;410.955,478.501,0.324,;379.738,504.798,0.34,;349.105,532.835,0.361,;317.733,559.898,0.378,;287.011,585.028,0.398,;261.66,606.189,0.414,;245.118,623.557,0.431,;228.579,637.537,0.449,;216.329,650.587,0.47,;194.472,666.245,0.484,;189.335,671.221,0.501,;189.431,673.707,0.517,;188.306,677.083,0.533,;187.187,680.439,0.55,;187,682.866,0.567,;187,684,0.583,;188.087,686.261,0.6,;190.594,688.594,0.618,;197.088,690.835,0.635,;214.5,693,0.665,;239.183,694.661,0.672,;273.858,694.216,0.683,;313.487,694,0.701,;357.83,692.979,0.717,;403.991,693,0.734,;441.12,694.268,0.75,;475.056,695.389,0.769,;509.5,698,0.785,;526.816,699.889,0.805,;538.786,701.754,0.818,;545.5,702.5,0.869,;538.88,700.94,0.991,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;51,,,;991,,,;JCCCH,,,
194,407,0,;220.558,407,0.017,;243.899,407,0.033,;269.399,406.2,0.05,;299.777,404.159,0.067,;333.235,400.877,0.083,;369.106,396.362,0.1,;401.118,393.16,0.118,;465.861,388.395,0.135,;475.594,388.473,0.152,;493.12,388,0.167,;504.693,388,0.184,;512.351,388,0.2,;516,388,0.252,;511.906,391.282,0.284,;502.038,397.476,0.3,;492.491,404.897,0.308,;482.367,413.159,0.341,;452.337,441.637,0.358,;428.841,461.851,0.369,;409.027,480.753,0.386,;384.778,506.566,0.403,;359.201,526.333,0.42,;336.237,548.763,0.436,;313.783,568.373,0.452,;293.006,587.994,0.477,;274.839,604.265,0.49,;257.885,621.115,0.5,;245.832,635.562,0.517,;233.546,650.082,0.535,;221.173,660.388,0.56,;216.186,666.377,0.582,;211.95,673.1,0.592,;206.183,679.817,0.617,;200.387,685.613,0.634,;190.336,696.83,0.658,;188.426,700.574,0.679,;186.166,702.834,0.701,;185.732,704.536,0.767,;192.17,705.028,0.785,;207.108,703.741,0.801,;222.024,702.614,0.819,;244,701.5,0.836,;270.59,698.753,0.851,;299.482,698,0.868,;329.484,698.87,0.885,;358.798,699.992,0.902,;389.844,702.203,0.919,;416.711,704.476,0.935,;442.192,705.356,0.954,;466.47,707.952,0.971,;481.757,708.597,0.986,;492.733,709.717,1.002,;501.697,710.837,1.019,;507.797,711,1.036,;512.32,713.16,1.085,;510.851,710.702,1.104,;507.018,707.862,1.202,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;58,,,;1202,,,;JCCCH,,,
189,401,0,;223.145,401,0.016,;242.118,402.125,0.033,;263.622,403.243,0.05,;287.694,403,0.068,;315.763,401.51,0.084,;347.039,399.783,0.1,;394.596,396.804,0.117,;425.953,394.29,0.133,;446.493,393.028,0.15,;461.227,391.906,0.167,;477.046,392,0.183,;488.708,390.663,0.201,;492.292,391,0.218,;494.164,392.582,0.234,;495.702,394.404,0.251,;496.5,396,0.284,;497.07,399.14,0.301,;498.183,401.367,0.334,;499.218,404.653,0.368,;494.603,410.038,0.385,;486.607,415.795,0.402,;470.333,425.25,0.418,;453.379,438.497,0.435,;428.543,449.571,0.451,;411.428,467.286,0.47,;385.21,483.993,0.49,;360.451,509.499,0.503,;337.069,531.931,0.519,;313.007,554.448,0.535,;292.833,574.167,0.552,;275.811,593.214,0.569,;264.69,608.834,0.585,;253.435,625.848,0.604,;244.987,638.52,0.62,;236.005,654.991,0.637,;227.05,661.331,0.653,;220.299,669.181,0.669,;212.969,678.754,0.686,;206.096,686.888,0.703,;197.183,694.715,0.719,;193.097,698.903,0.736,;191.298,700.702,0.801,;192,702.268,0.852,;197.241,706.161,0.87,;212.555,709.639,0.894,;225.087,707.557,0.905,;243.581,705.309,0.921,;268.768,702.633,0.947,;297.153,700.388,0.968,;327.896,697.225,0.986,;360.416,696,1.011,;417.423,698.584,1.022,;443.463,699.411,1.038,;465.5,699,1.055,;481.166,701,1.075,;492.207,701.776,1.087,;499.377,703.792,1.104,;504.075,704,1.171,;498.362,700.617,1.267,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;60,,,;1267,,,;JCCCH,,,
194,401,0,;221.901,408.78,0.017,;237.664,412.142,0.033,;259.096,414.326,0.052,;283.033,415.287,0.068,;312.089,413.596,0.085,;342.84,411.94,0.101,;390.011,409.692,0.117,;425.798,407.452,0.134,;450.754,406.102,0.151,;465.2,403.967,0.167,;483.157,402.865,0.184,;488.551,403,0.401,;487,405.077,0.442,;482.832,410.168,0.452,;480.586,412.414,0.467,;474.389,415.966,0.485,;467.305,420.796,0.502,;454.743,430.551,0.518,;441.01,439.532,0.534,;428.878,450.934,0.551,;413.938,465.129,0.567,;397.164,480.78,0.585,;380.362,501.165,0.6,;364.769,518.835,0.619,;350.568,539.522,0.636,;335,556,0.652,;318.436,572.583,0.668,;305.173,589.524,0.685,;287.594,603.875,0.701,;273.651,620.436,0.718,;260.264,630.302,0.735,;247.957,641.766,0.753,;239.846,655.731,0.77,;226.5,663,0.786,;219.818,671.727,0.802,;212.69,681.827,0.819,;203.097,690.147,0.835,;195.012,697.988,0.852,;189.395,702.484,0.868,;186.26,706.987,0.888,;182.911,710.089,0.903,;178.084,709,0.919,;175.5,709,0.951,;174.463,710.268,1.001,;177.109,710,1.036,;179.46,708.77,1.054,;184.91,708.418,1.07,;191.917,705.893,1.086,;202.208,704.179,1.103,;214.438,703.051,1.12,;226.697,704.063,1.136,;245.022,704,1.153,;260.29,705.306,1.171,;281.79,707.866,1.188,;298.498,707.553,1.204,;320.477,707.326,1.22,;339.727,707,1.237,;360.452,706.081,1.254,;376.549,706,1.27,;393.394,704.84,1.287,;405.114,705,1.304,;418.829,705,1.322,;432,703.5,1.338,;442.091,705,1.354,;452.13,704.234,1.371,;459.34,704.89,1.388,;465.053,705,1.404,;472.933,703.867,1.421,;479.524,704,1.437,;486.264,704,1.456,;489.973,704,1.473,;496.077,704,1.488,;501.69,704,1.505,;504.723,704,1.521,;506,704,1.588,;506.094,701.813,1.736,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;77,,,;1736,,,;JCCCH,,,
194,398,0,;211.95,400.112,0.018,;242.702,402.623,0.033,;267.418,403.746,0.05,;294.686,404,0.067,;323.69,404,0.084,;355.109,404,0.101,;385.236,402.769,0.118,;447.818,403,0.135,;462.356,401.529,0.152,;474.296,399.407,0.168,;485.741,399,0.184,;492.185,399,0.201,;496.83,398.043,0.218,;499.156,398,0.284,;499,400.268,0.318,;497.189,403.623,0.335,;494.201,406.799,0.36,;490.733,411.267,0.378,;483.943,417.714,0.394,;469.933,429.195,0.421,;453.793,441.965,0.435,;415.52,474.852,0.45,;394.94,494.06,0.467,;372.054,512.435,0.484,;351.552,532.448,0.501,;333.634,551.514,0.517,;311.963,569.242,0.534,;300.358,584.416,0.551,;284,600,0.568,;274.588,611.563,0.584,;266.719,622.79,0.601,;257.119,632.005,0.618,;251.008,640.987,0.65,;247.531,650.586,0.668,;238.573,661.784,0.685,;234.076,667.405,0.702,;227.992,674.609,0.718,;223.091,681.363,0.735,;219.453,686.396,0.752,;216.097,689.903,0.768,;213.819,693.271,0.785,;210.367,696.633,0.802,;205.687,699.985,0.818,;201.187,701.907,0.851,;200.464,703.536,0.901,;205.064,703,0.919,;213.274,701.818,0.936,;222.462,702,0.952,;238.523,702,0.97,;255.5,702,0.987,;279.398,701,1.002,;303.258,701,1.019,;329.948,701,1.036,;355.806,701,1.053,;382.739,701,1.069,;405.792,699.724,1.086,;425.25,700,1.104,;437.5,701.5,1.12,;449.752,701.361,1.136,;456.813,701,1.153,;461.542,701,1.17,;465.026,701,1.242,;478.798,701.641,1.249,;483.961,701.49,1.258,;488.445,702,1.271,;492.199,702,1.287,;494.711,702,1.304,;496,702,1.321,;499.193,702,1.338,;501.424,700.788,1.361,;505.022,700,1.372,;508.39,700,1.471,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;73,,,;1471,,,;JCCCH,,,
188,396,0,;207.102,396,0.017,;228.179,396,0.034,;246.947,397.291,0.052,;268.911,397,0.068,;294.425,396.46,0.085,;320.829,395.34,0.101,;348.579,394.217,0.118,;397.405,391.287,0.135,;425.573,391,0.151,;447.859,392.143,0.168,;465.144,390.741,0.186,;487.435,389.609,0.202,;494.077,390.51,0.226,;500.514,391,0.239,;503.5,391.75,0.252,;505,392.5,0.284,;504,394.081,0.3,;504,396.473,0.317,;502.648,400.056,0.335,;498.576,404.899,0.351,;487.775,413.225,0.367,;477.016,423.984,0.384,;462.113,438.038,0.401,;445.514,452.554,0.42,;426.461,471.539,0.435,;403.83,489.336,0.451,;386.649,510.019,0.469,;364.367,527.27,0.485,;347.64,544.633,0.502,;326.713,561.49,0.518,;308.658,576.697,0.535,;289.024,594.09,0.551,;273.109,608.827,0.568,;257.418,623.397,0.585,;245.674,632.721,0.602,;238.999,641.429,0.619,;227,650,0.634,;222.631,656.043,0.652,;218.626,662.748,0.67,;216.175,669.474,0.686,;212.888,678.298,0.702,;210.689,683.777,0.719,;208.452,686.822,0.737,;204.8,691.6,0.754,;199.921,697.079,0.77,;196.718,701.565,0.786,;193.706,705.294,0.803,;193.886,707.772,0.819,;196.009,706.996,0.852,;198.248,707,0.87,;204.853,708.37,0.887,;216.448,708,0.904,;232.041,708,0.932,;250.777,708,0.948,;273.001,707.143,0.969,;293.53,707,0.987,;340.867,708.221,1.003,;366.848,712.024,1.022,;389.65,713.919,1.038,;413.289,715.585,1.054,;434,716.706,1.07,;453.086,717.829,1.087,;468.34,718,1.104,;482.935,718,1.12,;489.156,718,1.137,;493.261,718,1.171,;494.536,716.732,1.188,;496.728,711.59,1.294,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;69,,,;1294,,,;JCCCH,,,
